CD8_stage,DPT
Non-CD8,0.14534976
T-CM,0.013318312
Stem-like,0.009511758
T-EFF/CTL,0.02889239
T-EM/TEMRA,0.02872998
T-RM,0.022551771
TRM-CD69only,0.02123057
Other_CD8,0.023842523
