CD8_stage,DPT
Non-CD8,0.3755962
T-CM,0.035470404
Stem-like,0.033188853
T-EFF/CTL,0.026393194
T-EM/TEMRA,0.02582728
T-RM,0.033496
TRM-CD69only,0.024782965
Other_CD8,0.028953277
