therapy,timepoint,response,CD8_stage,n_patients,mean_ZFP36,sd_ZFP36,mean_ZFP36L1,sd_ZFP36L1,mean_ZFP36L2,sd_ZFP36L2,mean_ZC3H12A,sd_ZC3H12A,mean_RC3H1,sd_RC3H1,mean_RC3H2,sd_RC3H2,mean_PCBP1,sd_PCBP1,mean_ELAVL1,sd_ELAVL1,mean_HNRNPLL,sd_HNRNPLL,mean_TIA1,sd_TIA1
anti-PD1,Post,Responder,T-EM/TEMRA,2,2.367307662963867,0.003992149490951883,1.35265052318573,0.27632839441633883,1.7423553466796875,0.8581563658025585,1.9467607736587524,0.1179887537070955,1.407211571931839,0.5821423447292625,0.17649713158607483,0.2496046372089758,0.24511270225048065,0.346641707832548,0.16781644523143768,0.23732829283554088,1.307408094406128,0.28050953037601356,0.6847798079252243,0.6286699156009545
anti-PD1,Post,Responder,T-RM,4,2.230021119117737,0.08453277932485531,1.2310246974229813,1.1085640152860894,2.0149089992046356,0.27097412712557317,0.2832878828048706,0.5665757656097412,1.9147393107414246,0.13994808711409204,0.1170622780919075,0.234124556183815,0.7682895362377167,0.8884749036861307,0.21012753248214722,0.42025506496429443,1.5055237710475922,1.1195021721816163,0.665589302778244,0.9160244192310951
anti-PD1,Post,Responder,TRM-CD69only,5,2.2488319158554075,0.19823868182996557,1.9702478647232056,0.5956595617742158,2.065772032737732,0.4447017280206738,0.6155121803283692,0.8883634319785213,0.8850117802619935,0.8938313926429159,0.3880358934402466,0.8676746354422561,0.6100119352340698,0.6201063824598861,0.07368232607841492,0.16475868985164127,0.9625037431716919,0.9656717212951138,0.4059986472129822,0.5969476291535318
anti-PD1,Pre,Non-responder,Non-CD8,8,1.9387457817792892,0.2607834945201451,1.6615899205207825,0.22333978967602036,1.368612453341484,0.36198252729993147,0.5722982510924339,0.2015678784457834,0.9784035459160805,0.12312895239302056,0.32826354168355465,0.0708435786877346,1.0539773628115654,0.23327263165539736,0.2290980089455843,0.053596246607924364,0.8385007679462433,0.21140876853832755,0.6179036945104599,0.11369140026481614
anti-PD1,Pre,Non-responder,Other_CD8,8,1.9332850724458694,0.3070872003551332,1.6252238899469376,0.2458248927314407,1.5058989524841309,0.4224486495239634,0.5982132256031036,0.2941467824790978,1.0818246975541115,0.2950896182008361,0.47753751277923584,0.2144542853327033,1.1862096264958382,0.257859879165998,0.33770412392914295,0.14262598499451984,1.2343020141124725,0.3085797580226357,0.8466920703649521,0.2675508606436697
anti-PD1,Pre,Non-responder,Stem-like,3,0.8100327650705973,1.403017904897779,1.2172252734502156,1.106153716355628,1.969327171643575,0.15710393739570588,0.0,0.0,0.4232535163561503,0.3711504908937225,0.6208428541819254,1.0753313669591709,0.0,0.0,0.0,0.0,1.2129162152608235,1.07577079440157,1.2553534905115764,1.155046629851362
anti-PD1,Pre,Non-responder,T-CM,2,2.1071824431419373,0.17066582373104236,1.1869875192642212,1.6786538481110571,2.1437329053878784,0.08035465255995991,1.1224780082702637,1.587423622761346,0.9821556210517883,1.388977799652409,1.1557724475860596,1.6345090703933527,1.0752993822097778,1.520702969932478,0.11555586010217667,0.16342066456818627,0.0,0.0,1.0958267450332642,1.5497330448372058
anti-PD1,Pre,Non-responder,T-EFF/CTL,8,1.8372785300016403,0.5000601153252183,1.5978118032217026,0.48303905633111466,1.5101765617728233,0.5666113554033201,0.6371374204754829,0.38328925716045836,1.373773917555809,0.40666110592565374,0.3506484553217888,0.3460988792196619,0.9990510866045952,0.4148023491929758,0.12464834563434124,0.1145728140575916,1.2504522763192654,0.41831513759695516,0.7853008359670639,0.2748780732677043
anti-PD1,Pre,Non-responder,T-EM/TEMRA,8,2.0726530849933624,0.3953836208797847,1.480303019285202,0.7419870635500122,1.317966878414154,0.7303835103090611,0.41503000259399414,0.38990341679402685,1.0031219273805618,0.5646053028642629,0.3405880779027939,0.31509439144905477,0.661666177213192,0.6117206583682521,0.2040166985243559,0.2395174343043088,0.9279527589678764,0.6114017646118602,0.424833370372653,0.45356236661257077
anti-PD1,Pre,Non-responder,T-RM,8,1.991532325744629,0.31328571808498806,1.8579888492822647,0.43113401440261095,1.4411194249987602,0.6179979881020532,0.5092626018449664,0.3345456807877118,1.0727610066533089,0.3535019128889936,0.412305461242795,0.20204606466694608,1.146280437707901,0.2231271062013352,0.1894676540978253,0.14593370493872562,1.2445478700101376,0.4621993891700699,0.6386042833328247,0.38499230475002666
anti-PD1,Pre,Non-responder,TRM-CD69only,8,2.062660440802574,0.23582380735750344,1.7082547843456268,0.4725324807359804,1.5105381608009338,0.5649666475697097,1.0300997123122215,0.8063657454416182,1.1191393360495567,0.4753245728539872,0.40362068358808756,0.2973525695520222,0.8937006965279579,0.4682118510265354,0.3107249364256859,0.30883830956973746,1.1293323710560799,0.4598477336953671,0.6918037682771683,0.34740421225731644
anti-PD1,Pre,Responder,Non-CD8,4,1.6062119603157043,0.5008747468527109,1.7999820113182068,0.16350645572887826,1.1927206814289093,0.14476675197183883,0.35574821382761,0.2297101879191327,0.855334535241127,0.04186823440698841,0.3419838473200798,0.09378189182256942,0.7469115108251572,0.2058391294719624,0.15976220928132534,0.07059267066322997,0.6114357188344002,0.31493535403273293,0.499588742852211,0.11313133046020815
anti-PD1,Pre,Responder,Other_CD8,4,1.6756135523319244,0.6175679873289498,1.875058263540268,0.4433313827129437,0.9205818325281143,0.3218967097841019,0.09970020316541195,0.07429132622374728,1.1647723764181137,0.3214416092228812,0.5535324923694134,0.3712091151133259,0.7970476150512695,0.5329515213261959,0.19983454793691635,0.1365382581849509,0.8391860872507095,0.2852146719328303,0.6092825680971146,0.4265108496621517
anti-PD1,Pre,Responder,Stem-like,2,1.7008381485939026,0.9985862089992795,1.8198202252388,0.19130749567034377,0.4027957320213318,0.5696391870905662,0.20937517285346985,0.2961012090735881,1.2592953145503998,1.0069258480609786,1.1848647817969322,1.412710068382878,0.22209532558918,0.31409022158788663,0.09460712224245071,0.13379467537236311,0.20604224503040314,0.2913877373437966,0.38133037090301514,0.5392825822758067
anti-PD1,Pre,Responder,T-CM,1,1.0842065811157227,,1.6306772232055664,,1.064862847328186,,0.3547053039073944,,1.680467128753662,,0.33016690611839294,,1.2822691202163696,,0.25578573346138,,0.6486349701881409,,0.3819206953048706,
anti-PD1,Pre,Responder,T-EFF/CTL,4,1.4220310896635056,1.1787962458611663,1.7553265690803528,0.4007368198196469,1.0461467951536179,0.989947501339237,0.5950496941804886,1.072985062207063,1.1363591998815536,0.9561337439880153,0.45471106469631195,0.5970216854788573,1.294199213385582,1.0875379307876123,0.7601757943630219,1.0197878670877152,1.0049077719449997,0.9565543593195226,0.13966012001037598,0.27932024002075195
anti-PD1,Pre,Responder,T-EM/TEMRA,2,1.4493756294250488,0.3576959200397125,2.0729295015335083,0.41462704007125795,0.5536393374204636,0.3801636674110212,0.40060675144195557,0.566543501067441,0.9667590856552124,0.20603234013459482,0.41799017786979675,0.5911273784822089,0.983025074005127,0.1183087325809902,0.0,0.0,1.5510795712471008,0.7305760851924448,0.562400221824646,0.7953540211860515
anti-PD1,Pre,Responder,T-RM,4,1.526335895061493,0.5391341757767991,1.8888922333717346,0.5355923583434183,1.3500491380691528,0.37523521761319817,0.3016360402107239,0.6032720804214478,1.042114943265915,0.3964930044390528,0.718355655670166,0.2271002782587433,1.0525965243577957,0.20753480681208583,0.2964368388056755,0.23339013872464906,0.9151964858174324,0.5043995730931831,0.7867110967636108,0.36144156547693596
anti-PD1,Pre,Responder,TRM-CD69only,3,1.8285600344340007,0.5750792387092696,1.6974949439366658,0.6273624091761058,1.5366326570510864,0.21074514679810807,0.2419840693473816,0.4191287027319355,0.6436330874760946,0.34351338179052443,0.1105898916721344,0.19154731117967505,1.04490061601003,0.43273045877522076,0.23780318101247153,0.2316335584742144,0.7819682757059733,0.7279734773071339,0.42103556791941327,0.17785645167723327
